"index","listing_id","price","nbhood_full"
"275","113265","55 dollars","Brooklyn, Crown Heights"
"276","113945","85 dollars","Manhattan, Hell's Kitchen"
"277","114123","199 dollars","Brooklyn, South Slope"
"278","114229","211 dollars","Manhattan, Lower East Side"
"279","115535","65 dollars","Manhattan, Harlem"
"280","115678","99 dollars","Manhattan, Harlem"
"281","115748","110 dollars","Queens, Astoria"
"282","116940","80 dollars","Brooklyn, Crown Heights"
"283","118061","110 dollars","Brooklyn, Bedford-Stuyvesant"
"284","118430","290 dollars","Manhattan, Chelsea"
"285","120362","190 dollars","Brooklyn, Williamsburg"
"286","121687","200 dollars","Brooklyn, Williamsburg"
"287","123784","110 dollars","Manhattan, Harlem"
"288","125053","395 dollars","Manhattan, East Village"
"289","125163","99 dollars","Brooklyn, Bedford-Stuyvesant"
"290","125594","39 dollars","Brooklyn, Kensington"
"291","126443","189 dollars","Manhattan, East Village"
"292","128975","122 dollars","Manhattan, Harlem"
"293","131154","165 dollars","Brooklyn, Greenpoint"
"294","132516","97 dollars","Queens, Forest Hills"
"295","133025","130 dollars","Manhattan, Murray Hill"
"296","134934","225 dollars","Brooklyn, Williamsburg"
"297","135393","50 dollars","Brooklyn, East Flatbush"
"298","135465","170 dollars","Brooklyn, Fort Greene"
"299","136493","250 dollars","Brooklyn, Park Slope"
"300","139624","64 dollars","Brooklyn, Crown Heights"
"301","140133","249 dollars","Brooklyn, Williamsburg"
"302","140973","185 dollars","Manhattan, East Village"
"303","141154","120 dollars","Brooklyn, Boerum Hill"
"304","141984","175 dollars","Manhattan, Nolita"
"305","144087","259 dollars","Manhattan, Harlem"
"306","146754","250 dollars","Brooklyn, Windsor Terrace"
"307","147586","295 dollars","Manhattan, Harlem"
"308","148259","451 dollars","Brooklyn, Williamsburg"
"309","148825","165 dollars","Manhattan, Upper West Side"
"310","149777","77 dollars","Bronx, Woodlawn"
"311","150804","250 dollars","Manhattan, Lower East Side"
"312","151199","129 dollars","Queens, Astoria"
"313","152078","95 dollars","Manhattan, East Village"
"314","152259","55 dollars","Manhattan, Harlem"
"315","152263","300 dollars","Manhattan, Harlem"
"316","153405","125 dollars","Brooklyn, Greenpoint"
"317","153780","175 dollars","Manhattan, East Village"
"318","155296","255 dollars","Brooklyn, Williamsburg"
"319","157673","72 dollars","Brooklyn, Bedford-Stuyvesant"
"320","158176","165 dollars","Brooklyn, Williamsburg"
"321","158290","75 dollars","Brooklyn, Clinton Hill"
"322","158955","139 dollars","Brooklyn, Williamsburg"
